feature,coefficient,abs_coefficient,importance_mean,importance_std,logistic_rank,forest_rank,consensus_rank,risk_direction,low_quintile_rate,high_quintile_rate,quintile_threshold,risk_lift_vs_baseline,holdout_mean_shift
TEMP_Z5,-2.3770783,2.3770783,0.022106389467178956,0.0,7.0,1.0,4.0,higher is associated with higher risk,0.0004966722956193504,0.0005900285180450389,>= 1333.733,0.820493657193431,46.4571533203125
TEMP_Z3,4.00844,4.00844,0.0017317898916400232,0.0,2.0,14.0,8.0,higher is associated with higher risk,0.0,0.0026220250100847118,>= 1299.604,3.6461879790238,62.28564453125
TEMP_Z2,2.0178642,2.0178642,0.015833236385977605,0.0,13.0,4.0,8.5,higher is associated with higher risk,0.0,0.0015964877270005988,>= 1294.366,2.2200758331670327,59.652587890625
TEMP_Z1,-4.010288,4.010288,0.0006230514045669974,0.0,1.0,17.0,9.0,higher is associated with higher risk,0.0,0.0014792899408284023,>= 1271.875,2.0571005917159764,57.1248779296875
EXT_1,3.7952044,3.7952044,0.0005628895605317499,0.0,3.0,19.0,11.0,higher is associated with higher risk,0.0,0.0015315890236119974,>= 40.271,2.1298276962348437,12.542110443115234
TEMP_Z4,2.0057018,2.0057018,0.0006458480340249539,0.0,14.0,16.0,15.0,higher is associated with higher risk,0.0005859947260474656,0.0013100876750982565,>= 1316.137,1.8218079209916356,49.171142578125
VENT_1,-1.8741659,1.8741659,0.013939329966832285,0.0,20.0,12.0,16.0,higher is associated with higher risk,0.00021139414438220062,0.0008962581223392337,>= 29.250,1.2463365449249384,7.399467468261719
VENT_2,-1.1754444,1.1754444,0.01908143689217775,0.0,31.0,3.0,17.0,higher is associated with higher risk,0.00031091304798424707,0.0012638674343491082,>= 26.857,1.75753405420587,3.7061901092529297
VENT_4,-3.4457169,3.4457169,0.000399245679459502,0.0,4.0,31.0,17.5,higher is associated with higher risk,0.0,0.001370545726389235,>= 39.159,1.90588088711687,3.783864974975586
ELET_CORRENTE,-1.9749221,1.9749221,0.0005073081365991189,0.0,18.0,22.0,20.0,lower is associated with higher risk,0.0011724856696195935,0.00025207965717166626,<= 2206.917,1.6304585721730067,-261.918212890625
AIR_Z3_1,1.9999408,1.9999408,0.0005069465879232946,0.0,17.0,23.0,20.0,lower is associated with higher risk,0.0007640878701050621,0.0004035919685198265,<= 1183.572,1.0625405921680993,260.8377685546875
COOL_3,-1.0333688,1.0333688,0.01469744049650629,0.0,36.0,6.0,21.0,higher is associated with higher risk,0.0,0.0015413801280531184,>= 393.673,2.1434432060706663,46.187835693359375
COOL_1B,1.0920782,1.0920782,0.013998368900580819,0.0,34.0,11.0,22.5,higher is associated with higher risk,0.0,0.0010146103896103895,>= 750.043,1.4109172077922076,50.454833984375
GAS_Z3_1,-1.8401116,1.8401116,0.0004933538988912203,0.0,21.0,24.0,22.5,lower is associated with higher risk,0.0007836222940542658,0.00039416633819471815,<= 105.862,1.089705162111862,20.011734008789062
GAS_Z6_2,1.8190507,1.8190507,0.0004570210577550596,0.0,23.0,27.0,25.0,lower is associated with higher risk,0.0008807662666519872,0.0001743071291615827,<= 36.005,1.2247935704062534,-5.4913330078125
