scope,target,display_name,system_group,feature_count,logistic_share,forest_share,correlation_share,mean_top_driver_lift,combined_share,top_feature_in_group
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Thermal,19,0.32304805517196655,0.5581626694693318,0.14075913763360146,1.4049448324635283,0.34065662075829994,TEMP_Z2
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Combustion,30,0.2997210919857025,0.07430193858079323,0.39331260831386294,1.7962666847030138,0.2557785462934529,AIR_Z4_2
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Cooling,17,0.17061100900173187,0.1280458536355439,0.25965611330917243,1.4689866337181336,0.18610432531548274,LASER_RAFF_7
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Pressure and Ventilation,15,0.059131182730197906,0.08765662397745737,0.0973061686267714,1.4155891773360663,0.08136465844480889,EXT_1
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Mechanical,9,0.057484220713377,0.07083618108721365,0.06161041113264107,1.4961252099947218,0.0633102709777439,TIRO_DECAP
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Chemical and Pickling,10,0.06824464350938797,0.0725260638467641,0.03839319315389582,1.137584662715426,0.05972130017001596,DEC_H2SO4
defect_type_3,defect_type3_any_defect,Type 3 In-defect,Bridle and Roll Control,6,0.021759841591119766,0.008470669402895868,0.00896236783005495,,0.013064292941356864,SPZ1_R1_ASS
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Combustion,30,0.31745264,0.2893636044794038,0.3571075259465689,2.055768624316748,0.3213079232557757,AIR_Z2_1
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Thermal,19,0.21480872,0.350915604766524,0.1154108116787926,1.4445073496873448,0.2270450446051166,TEMP_Z2
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Cooling,17,0.2820553,0.1879748391330143,0.2002431669827631,2.169135049046028,0.2234244315563384,LASER_RAFF_3
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Pressure and Ventilation,15,0.0760085,0.0691336184806609,0.184478658877491,2.4581218409151373,0.1098735920089408,FRN_PHF_PRESSURE
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Chemical and Pickling,10,0.04553794,0.0864499456393363,0.0552229693436771,,0.0624036187136104,ELET_H2SO4
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Mechanical,9,0.036980946,0.0131615503756464,0.0743929078157838,,0.0415118012694636,TIRO_DECAP
defect_type_3,defect_type3_pre_any_defect_50m,Type 3 Pre-defect 50m,Bridle and Roll Control,6,0.027155984,0.0030008371254139,0.0131439593549231,,0.0144335935578079,SPZ2_R4
general,any_defect,In-defect,Thermal,19,0.3481049,0.8185501035602812,0.1441372587497739,1.3149582449169488,0.4369307521570932,TEMP_Z5
general,any_defect,In-defect,Combustion,30,0.2606663,0.0507377548670999,0.3935258568411304,1.986274189808064,0.2349766408318104,AIR_Z4_1
general,any_defect,In-defect,Cooling,17,0.15332851,0.0130002923331554,0.2573493636516102,,0.1412260547078074,COOL_2A
general,any_defect,In-defect,Pressure and Ventilation,15,0.09937581,0.0330040975237032,0.1019567587837793,1.4171061271071164,0.0781122210187832,EXT_1
general,any_defect,In-defect,Mechanical,9,0.066419646,0.042753556748823,0.0636418250769358,1.3291598504394513,0.057605009323224,TIRO_DECAP
general,any_defect,In-defect,Chemical and Pickling,10,0.06144594,0.0267017190078412,0.0306329465507348,,0.039593535281499,ELET_CORRENTE
general,any_defect,In-defect,Bridle and Roll Control,6,0.01065885,0.0152524759590959,0.0087559903460354,,0.0115557720890623,SPZ1_R1_ASS
general,pre_any_defect_200m,Pre-defect 200m,Combustion,30,0.29642978,0.226016562347712,0.3610208941769146,0.8806344569247275,0.2944890798768256,AIR_Z3_1
general,pre_any_defect_200m,Pre-defect 200m,Thermal,19,0.26994905,0.325308788314106,0.1557025361862771,1.854029207751548,0.2503201244193121,TEMP_Z3
general,pre_any_defect_200m,Pre-defect 200m,Cooling,17,0.163654,0.1649201984074587,0.2412362616718661,1.1235656780650254,0.1899368198821188,LASER_RAFF_3
general,pre_any_defect_200m,Pre-defect 200m,Chemical and Pickling,10,0.062319607,0.1633543758590265,0.0790242816182753,0.5402867578315647,0.1015660880066297,ELET_H2SO4
general,pre_any_defect_200m,Pre-defect 200m,Pressure and Ventilation,15,0.13342895,0.0361635399429542,0.0893383691320861,,0.0863102850708228,EXT_1
general,pre_any_defect_200m,Pre-defect 200m,Mechanical,9,0.04498476,0.0350631452604095,0.0411584272516033,,0.0404021113791804,FILL_TIRO
general,pre_any_defect_200m,Pre-defect 200m,Bridle and Roll Control,6,0.029233873,0.0491733898683329,0.0325192299629773,,0.0369754975739275,SPZ1_R1_ASS
general,pre_any_defect_50m,Pre-defect 50m,Combustion,30,0.35165724,0.0158703472892044,0.3585709072538108,1.1256797748954048,0.2420328320419619,AIR_Z2_1
general,pre_any_defect_50m,Pre-defect 50m,Cooling,17,0.13125478,0.3519339476685413,0.2265684176430523,1.7771802069314369,0.2365857142079575,COOL_3
