COIL,MT_FROM,MT_TO,DATE,DIF_TIPO_1,DIF_TIPO_2,DIF_TIPO_3,DIF_TIPO_4,DIF_TIPO_5,DIF_TIPO_6,defect_event_id,coverage_status,points_in_interval,run_min_mt,run_max_mt
389523,0.0,599.0,2019-03-01,0,0,1,0,0,0,0,full_coverage,86,0.0,1456.0
389523,600.0,1457.0,2019-03-01,0,1,1,0,0,0,1,partial_coverage,123,0.0,1456.0
389528,0.0,1399.0,2019-03-01,0,0,1,0,0,0,2,partial_coverage,136,0.0,945.0
389528,1400.0,1539.0,2019-03-01,0,0,1,0,1,0,3,zero_coverage,0,0.0,945.0
389712,0.0,1374.0,2019-03-01,0,0,1,0,0,0,4,partial_coverage,197,0.0,1372.0
389916,3.0,790.0,2019-03-01,0,1,1,1,0,0,5,partial_coverage,95,0.0,665.0
390020,1.0,1492.0,2019-03-01,0,0,1,0,0,0,6,partial_coverage,196,0.0,1372.0
390318,0.0,1396.0,2019-03-01,0,0,1,1,0,0,7,partial_coverage,200,0.0,1393.0
389110,0.0,2800.0,2019-03-04,0,0,1,1,0,0,8,full_coverage,401,0.0,2800.0
391221,3.0,3029.0,2019-03-07,0,0,1,1,0,0,9,partial_coverage,415,0.0,2905.0
391629,0.0,1375.0,2019-03-07,0,0,0,1,0,0,10,partial_coverage,197,0.0,1372.0
391631,0.0,1129.0,2019-03-07,0,0,1,1,0,0,11,partial_coverage,162,0.0,1127.0
391939,0.0,600.0,2019-03-07,0,1,1,1,0,0,12,full_coverage,86,0.0,1428.0
391939,601.0,1429.0,2019-03-07,0,0,1,1,0,0,13,partial_coverage,119,0.0,1428.0
391942,0.0,907.0,2019-03-07,0,0,1,0,0,0,14,partial_coverage,113,0.0,784.0
392214,0.0,1364.0,2019-03-07,0,0,1,0,0,0,15,partial_coverage,195,0.0,1358.0
392216,0.0,1411.0,2019-03-07,0,0,1,0,0,0,16,partial_coverage,202,0.0,1407.0
392314,191.0,2124.0,2019-03-07,0,0,1,0,0,0,17,partial_coverage,276,196.0,2268.0
392315,2.0,1736.0,2019-03-07,0,0,1,0,0,0,18,partial_coverage,248,7.0,1736.0
392323,680.0,2567.0,2019-03-07,0,0,1,1,0,0,19,partial_coverage,269,686.0,4172.0
392324,0.0,2575.0,2019-03-07,0,1,1,0,0,0,20,partial_coverage,351,0.0,2450.0
392324,482.0,483.0,2019-03-07,0,1,1,0,1,0,21,full_coverage,1,0.0,2450.0
392527,2.0,2148.0,2019-03-07,0,0,1,0,0,0,22,partial_coverage,289,0.0,2023.0
392633,0.0,1390.0,2019-03-07,0,0,1,1,0,0,23,partial_coverage,182,0.0,1267.0
392634,0.0,400.0,2019-03-07,0,0,1,1,0,0,24,full_coverage,58,0.0,994.0
392634,401.0,1000.0,2019-03-07,0,0,1,0,0,0,25,partial_coverage,85,0.0,994.0
392824,8.0,2719.0,2019-03-07,0,0,1,1,0,0,26,partial_coverage,387,14.0,2716.0
393212,1.0,1388.0,2019-03-07,0,0,1,0,0,0,27,partial_coverage,198,7.0,1386.0
393213,76.0,714.0,2019-03-07,0,0,0,1,0,0,28,partial_coverage,92,77.0,770.0
393215,6.0,2128.0,2019-03-07,0,1,1,0,0,0,29,partial_coverage,304,7.0,2128.0
393216,190.0,2154.0,2019-03-07,0,1,1,0,0,0,30,partial_coverage,280,196.0,2310.0
381326,2.0,2123.0,2019-03-09,1,0,1,1,0,0,31,partial_coverage,303,7.0,2121.0
389911,0.0,4377.0,2019-03-09,0,0,0,1,0,0,32,partial_coverage,626,0.0,4375.0
392413,0.0,1419.0,2019-03-09,0,0,1,1,0,0,33,partial_coverage,203,0.0,1414.0
392918,0.0,1393.0,2019-03-09,1,0,1,1,0,0,34,full_coverage,200,0.0,1393.0
392929,0.0,2149.0,2019-03-09,1,0,1,1,0,0,35,full_coverage,308,0.0,2149.0
391012,0.0,110.0,2019-03-10,1,0,0,1,0,0,36,full_coverage,16,0.0,1029.0
391012,111.0,1032.0,2019-03-10,0,0,0,1,0,0,37,partial_coverage,132,0.0,1029.0
