feature,coefficient,abs_coefficient,importance_mean,importance_std,logistic_rank,forest_rank,consensus_rank,risk_direction,low_quintile_rate,high_quintile_rate,quintile_threshold,risk_lift_vs_baseline,holdout_mean_shift
TEMP_Z2,2.7558906,2.7558906,0.001759949932567612,0.0,16.0,1.0,8.5,higher is associated with higher risk,0.0,0.0011085529120832267,>= 1294.211,1.283598695724559,28.3994140625
TEMP_Z6,4.14991,4.14991,0.00041463496756078376,0.0,7.0,14.0,10.5,higher is associated with higher risk,0.0,0.0019636213311285656,>= 1308.521,2.273686489891533,13.2388916015625
TEMP_Z5,-4.218635,4.218635,0.00036551127969488423,0.0,6.0,17.0,11.5,higher is associated with higher risk,0.0,0.0005099439061703213,>= 1333.559,0.5904664772589301,18.5968017578125
LASER_RAFF_3,9.239873,9.239873,0.0002588353165868078,0.0,1.0,25.0,13.0,higher is associated with higher risk,0.0,0.0028245263034012004,>= 63.604,3.270532456833504,12.909542083740234
FRN_PHF_PRESSURE,2.0920339,2.0920339,0.0009424865144684949,0.0,21.0,5.0,13.0,lower is associated with higher risk,0.002122905027932961,0.0011379441143001643,<= -5.896,2.4581218409151373,-1.4920680522918701
AIR_Z1_2,2.990802,2.990802,0.0003194768340085141,0.0,14.0,20.0,17.0,higher is associated with higher risk,0.00012121212121212121,0.0016368100391015732,>= 2405.148,1.895270138609231,403.31884765625
AIR_Z4_2,2.874955,2.874955,0.0003039686334001309,0.0,15.0,22.0,18.5,higher is associated with higher risk,0.0,0.002661556478228468,>= 1747.033,3.0818289202192104,438.0601806640625
PYRO_3_LST_3_ZONE,-1.3734912,1.3734912,0.0015114558101608656,0.0,35.0,2.0,18.5,higher is associated with higher risk,0.0,0.0014079549454417458,>= 1122.260,1.6302777358743568,19.5498046875
AIR_Z3_2,1.9414153,1.9414153,0.0005839029076753176,0.0,27.0,10.0,18.5,higher is associated with higher risk,0.0,0.0012329189355799856,>= 3063.606,1.4276027065506156,624.617431640625
GAS_Z3_2,-1.9849325,1.9849325,0.0004306353260327203,0.0,24.0,13.0,18.5,higher is associated with higher risk,0.0,0.0011991605875886879,>= 261.828,1.388513754657454,51.32635498046875
COOL_1A,1.9747392,1.9747392,0.00043987426989783134,0.0,26.0,12.0,19.0,higher is associated with higher risk,0.0,0.0009583133684714902,>= 936.033,1.1096356127501312,35.8834228515625
COOL_3,-1.6693355,1.6693355,0.0006438477340580794,0.0,31.0,8.0,19.5,higher is associated with higher risk,0.00013017443374121324,0.0022624434389140274,>= 393.787,2.6196940314587374,40.699981689453125
LASER_RAFF_4,-1.8498234,1.8498234,0.0004409976865636066,0.0,28.0,11.0,19.5,higher is associated with higher risk,0.00048514251061249243,0.0017168248838618462,>= 281.250,1.9879197083802214,24.214126586914062
GAS_Z1_1,1.9849268,1.9849268,0.00035296903149961353,0.0,25.0,18.0,21.5,higher is associated with higher risk,0.00011328877308258752,0.002146659797355315,>= 210.967,2.4856276015472303,35.485626220703125
LASER_RAFF_6,-3.990816,3.990816,0.00011571209366292509,0.0,8.0,36.0,22.0,higher is associated with higher risk,0.00045777065690089265,0.001604530438886267,>= 281.250,1.857893435807546,23.85986328125
